飽きる,あき
昼飯,ひるめし
広場,ひろば
広い,ひろい
広がる,ひろげる
服屋,ふくや
複数,ふくすう
風船,ふうせん
再び,ふたたび
復帰,ふっき
触る,ふれる
風呂,ふろ
変更,へんこう
帽子,ぼうし
放置,ほうち
放置終わり,ほうちおわり
欲しい,ほしい
毎日,まいにち
学ぶ,まなぶ
見る,みる
未成年,みせいねん
見せる,みせる
未接続,みせつぞく
無意味,むいみ
虫取,むしとり
無駄,むだ
無理,むり
木曜日,もくようび
元々,もともと
基づく,もとづく
基づいて,もとづいて
戻る,もどる
役場,やくば
安い,やすい
休み,やすみ
物語,ものがたり
問題,もんだい
屋根,やね
夜景,やけい
野獣,やじゅう
郵便局,ゆうびんきょく
夢番地,ゆめばんち
夢見,ゆめみ
用紙,ようし
用事,ようじ
幼児,ようじ
妖怪,ようかい
妖怪ウォッチ,ようかい
読む,よむ
来週,らいしゅう
流星群,りゅせいぐん
留守,るす
列車,れっしゃ
連絡,れんらく
連絡先,れんらくさき
私達,わたしたち
我々,われわれ
1月,いちがつ
2月,にがつ
3月,さんがつ
4月,しがつ
5月,ごがつ
6月,ろくがつ
7月,なながつ
8月,はちがつ
9月,くがつ
10月,じゅうがつ
11月,じゅういちがつ
12月,じゅうにがつ
大仏,だいぶつ
小学生,しょうがくせい
中学生,ちゅうがくせい
高校生,こうこうせい
合格,ごうかく
合格発表,ごうかくはっぴょう
不合格,ふごうかく
教室,きょうしつ
暑い,あつい
熱い,あつい
春休み,はるやすみ
夏休み,なつやすみ
秋休み,あきやすみ
夏祭り,なつまつり
冬休み,ふゆやすみ
冷房,れいぼう
時計,とけい
放送,ほうそう
書類,しょるい
美術館,びじゅつかん
記念館,きねんかん
展示館,てんじかん
歴史館,れきしかん
文学館,ぶんがくかん
写真館,しゃしんかん
科学館,かがくかん
家族,かぞく
母親,ははおや
お母さん,おかあさん
父親,ちちおや
お父さん,おとうさん
息子,むすこ
お兄ちゃん,おにいちゃん
お姉ちゃん,おねえちゃん
祖父,そふ
祖母,そぼ
動物,どうぶつ
消える,きえる
番号,ばんごう
変る,かえる
早速,さっそく
流星,りゅうせい
便利,べんり
お帰り,おかえり
消す,けす
荒らす,あらす
登録,とうろく
無い,ない
了解,りょうかい
和風,わふう
消せる,けせる
簡単,かんたん
一杯,いっぱい
自分,じぶん
元気,げんき
他か,ほか
久しぶり,ひさしぶり
お久♪,おひさ
読み,よみ
分る,わかる
乙カレー,おつかれ
無中,むちゅう
ツアー行こう,つあー
ツアー行こう♪,つあー
電源,でんげん
充電,じゅうでん
落穴,おとしあな
弁当,べんとう
内部,ないぶ
違う,ちがう
睡眠,すいみん
犬猫,いぬねこ
当り,あたり
相性,あいしょう
何処,どこ
魔女,まじょ
高速,こうそく
移動,いどう
小麦粉,こむぎこ
砂糖,さとう
師走,しわす
年末,ねんまつ
本日,ほんじつ
秘密,ひみつ
図鑑,ずかん
毎週,まいしゅう
主婦,しゅふ
結婚,けっこん
不明,ふめい
常識,じょうしき
依存,いぞん
寄付,きふ
絵画,かいが
海外,かいがい
反応,はんのう
旅行,りょこう
自然,しぜん
台風,たいふう
避難,ひなん
警告,けいこく
地震,じしん
雷雨,らいう
入れた,いれた
入る,はいる
様子,ようす
お願い致します,おねがい
来た,きた
名前,なまえ
文章,ぶんしょう
今度,こんど
外来て,そときて
部屋,へや
絵文字,えもじ
居る,いる
,ねこ
録画,ろくが
血液型,けつえきがた
落し穴,おとしあな
,しんごう
飽きる,あきる
飽きた,あきた
連続,れんぞく
何人,なんにん
回覧,かいらん
現因,げんいん
機械,きかい
出る,でる
時々,ときどき
動く,うごく
送る,おくる
頑張る,がんばる
終わり,おわり
数字,すうじ
先生,せんせい
学生,がくせい
取る,とる
好み,このみ
遠い,とおい
居ない,いない
更新,こうしん
出来た,できた
文字,もじ
公開,こうかい
設定,せってい
♠,すぺーど
,だいや
♣,くらぶ
♣,くろーば
☎,でんわ
忙しい,いそがしい
非害,ひがい
無し,なし
未完成,みかんせい
確認,かくにん
年賀状,ねんがじょう
英語,えいご
ただいま～♪\(^◇^),ただー
専用,せんよう
記号,きごう
木材,もくざい
会う,あう
合う,あう
二度,にど
1回,いっかい
一回,いっかい
帰れ,かえれ
還れ,かえれ
死ね,しね
死,し
市,し
死ぬ,しぬ
死せる,しせる
氏,し
草,くさ
笑,わら
私,わたし
Vapecord,vape
Hirasawa Susumu,ひらさわ
Animal Crossing: New Leaf,acnl
猫,ねこ
犬,いぬ
団,だん
段,だん
結構,けっこう
